"Special Price:","Now only:"
"My Wishlist","Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"My Account","Account"
"Cart","Cart"
"View Cart","View Cart"
"View all items in your shopping cart","View all items in your shopping cart"
"View All","View All"
"Compare","Compare"
"Compare Products","Compare Products"
"Compare all selected items","Compare all selected items"
"Currency","Currency"
"Language","Language"
"Sign Up","Sign Up"
"Enter your e-mail","Enter your e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Related Products","Related"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","New"
"Sale","Sale"
"Categories","Categories"
"Menu","Menu"
"Email to a Friend","Share"
"Product Tags","Tags"
"Product Description","Details"
"Additional Information","Additional Info"
"Other Products","Other Products"
"Developed by", "Developed by"
"Join us on %s", "Join us on %s"
"Product Catalog", "Product Catalog"
"Information Pages", "Information Pages"
"Our Contacts:", "Our Contacts:"
"SKU", "SKU"
"Be the first to review this product", "Add a Review"
"View All", "View All"
"Shop Address:", "Shop Address:"
"Hours of Operations:", "Hours of Operations:"
"Information Pages", "Information Pagesы"
"Product Catalog", "Product Catalog"
"Callback", "Callback"
"Account", "Account"
"Newsletter Subscription", "Newsletter Subscription"
"Subscriptions", "Subscriptions"
"Subscription", "Subscription"
"News", "News"
"Keep abreast of the latest news", "Keep abreast of the latest news"
"You are subscribed to %s.", "You are subscribed to %s."
"Your Name", "Your Name"
"Be the first to review this product", "Be the first to review this product"
"Add a Review", "Add a Review"
"I am registered", "I am registered"
"I am new buyer", "I am new buyer"
"Shopping bag", "Shopping bag"
"Shipping Methods:", "Shipping Methods:"
"Payment Methods:", "Payment Methods:"
"State/Province", "State/Province"
"Default Address", "Default Address"
"Clear List", "Clear List"
"%s has been added to your wishlist.", "%s has been added to your wishlist."
"Shipping Address", "Shipping Address"
"You failed to enter phone.", "You failed to enter phone."
"Telephone", "Telephone"
"Comment", "Comment"
"Write Your Review", "Write Your Review"
"Your Name", "Your Name"
"Your Review", "Your Review"
"Please, rate this product", "Please, rate this product"
"Review for %s", "Review for %s"
"loading ...", "loading ..."
"The page you requested was not found.", "The page you requested was not found."
"My Orders", "My Orders"
"Submit", "Submit"
"Rating", "Rating"
"About order", "About order"
"Search entire store here...","Search entire store here..."
"Search", "Search"
"Close", "Close"
"Find", "Find"
"Filter", "Filter"
"Currently Shopping by", "Currently Shopping by"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Email Address", "Email Address"
"Please select region, state or province", "Please select region, state or province"
"Previous", "Previous"
"Next", "Next"