"Nova Poshta", "Nova Poshta"
"Manage Locales", "Manage Locales"
"View Warehouses", "View Warehouses"
"New Post", "New Post"
"API key", "API key"
"Error Message", "Error Message"
"Don`t Calculate Delivery Cost", "Don`t Calculate Delivery Cost"
"Store City (used to calculate shipping price)", "Store City (used to calculate shipping price)"
"Locale Information", "Locale Information"
"Edit locale", "Edit locale"
"Save locale", "Save locale"
"Name", "Name"
"Magento Store Id", "Magento Store Id"
"Is active", "Is active"
"Max weight", "Max weight"