"Nova Poshta", "Новая Почта"
"Manage Locales", "Управление привязками локализации"
"View Warehouses", "Просмотр складов/отделений"
"New Post", "Новая почта"
"API key", "API ключ"
"Error Message", "Сообщение об ошибке"
"Don`t Calculate Delivery Cost", "Не расчитывать стоимость доставки"
"Store City (used to calculate shipping price)", "Город склада (используется для расчета стоимости доставки)"
"Locale Information", "Привязка к локализации"
"Edit locale", "Редактировать привязку локализации"
"Save locale", "Сохранить"
"Name", "Название"
"Magento Store Id", "Номер магазина в Magento"
"Is active", "Активно"
"Max weight", "Максимальный вес"
"Warehouse", "Отделение"