"Add to Cart Button", "Кнопка добавления в корзину"
"Add to Cart", "Добавить в корзину"
"Block separator", "Разделитель блока"
"Blog Posts", "Посты"
"Categories", "Категории"
"Category Search Results Sort Order", "Порядок сортировки результатов поиска категорий"
"Category Search Results", "Результат поиска категории"
"Close", "Закрыть"
"CMS Search Result Fields", "Поля результатов поиска статических страниц"
"CMS Pages", "Статические страницы"
"Cms Content", "Содержимое статических страниц"
"Cms Title", "Заголовок статической страницы"
"Description", "Описание"
"Enable", "Активно"
"Enable search terms highlighting", "Включить выделение запросов поиска"
"Filter CMS Pages", "Фильтровать статические страницы"
"More results", "Больше результатов"
"Name", "Имя"
"Name A-Z", "Имя А-Я"
"Name Z-A", "Имя А-Я"
"News Pages", "Страницы новостей"
"Price", "Цена"
"Price Asc", "Цена по возрастанию"
"Price Desc", "Цена по убыванию"
"Product Image Size", "Размер изображения товара"
"Product Image", "Изображение товара"
"Product Name", "Название товара"
"Product Search Result Fields", "Поля результатов поиска товара"
"Product Search Results Sort Order", "Порядок сортировки результатов поиска товаров"
"Product Search Results", "Результаты поиска товаров"
"Product Short Description Size", "Размер краткого описания товара"
"Product Title Size", "Размер заголовка товара"
"Products", "Товары"
"Relevance", "Актуальность"
"Reviews Rating", "Рейтинг отзывов"
"Search Autocomplete", "Поиск (автокомплит)"
"Search entire store here...", "Вставьте текст для поиска по магазину..."
"Search Categories", "Поиск категорий"
"Search CMS", "Поиск статических страниц"
"Search results for '%s'", "Результаты поиска для '%s'"
"Search Products", "Поиск товаров"
"Short Description", "Краткое описание"
"SKU:", "Артикул:"
"SKU", "Артикул"
"Suggested Searches", "Соответствия в найденом"
"There are no results.", "Нет результатов поиска."
"Search", "Поиск"
"Pop-Up Delay", "Задержка всплывающего сообщения"
"in milliseconds", "в миллисекундах"
"Suggested Searches Results", "Результаты найденыйх соответствий"
"Show Product Results Grouped By Categories", "Результаты поиска товаров группировать по категориям"
"example: 80x80", "пример: 80x80"
"Number of words", "Количество слов"