"Leave your phone number and name. We will contact you shortly.", "Залиште Ваш номер телефона та им'я. В найближчий час ми зв'яжемося з Вами."
"Telephone", "Телефон"
"Send", "Відправити"
"loading ...", "завантаження ..."
"Callback", "Зворотній дзвонік"
"You failed to enter phone.", "Телефон введено не коректно."
"Thank you for your request. We'll call you back shortly.", "Дякуємо за Ваш запит. В найближчий час ми зв'яжемося з Вами."
"Please make sure to fill in all fields", "Переконайтеся, що Ви вірно заповнили всі поля"
'Sorry, something went wrong...', "Вибачте, щось невірно..."
"Item does not exist.", "Запис не існує."
"Callback was successfully saved", "Запит зворотнього дзвінка вдало збережен"
"Item was successfully removed", "Запис вдало видалений"
"Item(s) was successfully removed", "Записи вдало видалені"
"Customer Callbacks", "Зворотній дзвінок"
"Customer Callbacks Manager", "Керування зворотніми дзвінками"
"Details", "Детально"
"Customer Name", "Им'я клієнта"
"Customer Telephone", "Телефон клієнта"
"Add new Callback", "Додати новий зворотній дзвінок"
"Edit Callback '%s'", "Редагувати зворотній дзвінок '%s'"
"Edit Item '%s'", "Редагувати запис '%s'"
"Remove Items", "Видалити записи"
"Are you sure?", "Ви впевнені?"
"Action", "Дія"
"Edit", "Редагувати"
"ID", "Номер"
"Callback Request Message", "Повідомлення при запиті зворотнього дзвінка"
"Callback Confirm Message", "Повідомлення підтвердження зворотнього дзвінка"
"New", "Новий"
"Processed", "Оброблено"
"Fail", "Помилковий"
"Created At", "Створено в"
"Customer Comment", "Коментар клиієта"
"Administrate", "Адміністрування"
"Status", "Статус"
"Modify At", "Змінений в"
"Operator Comment", "Коментар оператора"
"Comment", "Коментар"
"You have new Callback request", "У вас новий запит на зворотній дзвінок"
"Page, were Callback called", "Сторінка, з якої отриман запит на зворотній дзвінок"
"You have new %s callback(s) request(s) from customers.", "У Вас %s новий(х) запит(ів) на зворотній дзвінок від клієнтів."
"NEW CALLBACK !!!", "НОВИЙ ЗАПИТ НА ЗВОРОТНІЙ ДЗВІНОК !!!"
"Click here to go to <a href=""%s"">Customer Callbacks Manager</a>.", "Натисніть тут щоб перейти до <a href=""%s""> Менеджера запитів на зворотній дзвінок</a>"
"Show User Comment Field in Form", "Показувати поле коментаря користувача у формі"
"Show CallBack Link in Header", "Показувати посилання на зворотній дзвінок у хедері сайту"
"Show CallBack Link in Footer", "Показувати посилання на зворотній дзвінок у футері сайту"
"Add New", "Додати новий запис"
"Your Name", "Ваше ім'я"
"Thank you for your request. We`ll call you back shortly.", "Дякуємо Вам за Ваш запит . Ми  зв'яжеться з Вами найближчим часом."
"Close", "Закрити"
"Buy", "Купити"
"Buy One Click", "Купити в один клiк"