"Nova Poshta", "Нова Пошта"
"Manage Locales", "Керування прив'язками локалізації"
"View Warehouses", "Перегляд складів/відділень"
"New Post", "Нова пошта"
"API key", "API ключ"
"Error Message", "Повідомлення про помилку"
"Don`t Calculate Delivery Cost", "Не розраховувати вартість доставки"
"Store City (used to calculate shipping price)", "Місто склада (використовується для розрахунку вартості доставки)"
"Locale Information", "Прив'язка до локалізації"
"Edit locale", "Редагувати прив'язку локалізації"
"Save locale", "Зберегти"
"Name", "Назва"
"Magento Store Id", "Номер магазина в Magento"
"Is active", "Активно"
"Max weight", "Максимальна вага"