"Shopping in ","Куплено в "
"You will be redirected to the Privat24 website in a few seconds.","Ви будете перенаправлені на сайт Privat24 протягом декілька секунд."
"You will be required to enter your payment details after you place an order.","Вам буде необхідно ввести свої дані для оплати після створення замовлення."
"Payment time","Час оплати"
"Sender phone","Телефон платника"
"Reference","Нагадування"
"Merchant Password","Пароль мерчанта"
"ID Merchant","ID мерчанта"
"Countries Payment Applicable From","Країни, до яких застосовується метод оплати"
"Your order does not paid for.","Ваше замовлення не сплачено."
"During the payment order was an error and the order is not paid. The order will be canceled Peret. If payment has been made, but you see this message - contact the support site.","Під час оплати замовлення сталася помилка та замовлення не сплачено. Замовлення буде відмінено. Якщо оплата була проведена, але Ви бачите це повідомлення - то зв'яжіться з підтримкою сайта."
"Error payment order.","Помилка оплати замовлення."
"MaGuru - PrivatBank - Privat24 - General","MaGuru - ПриватБанк - Приват24 - Загальні налаштування"
"Privat24","Приват24"