"Add to Cart Button", "Кнопка додавання в кошик"
"Add to Cart", "Додати в кошик"
"Block separator", "Розділювач блока"
"Blog Posts", "Пости"
"Categories", "Категорії"
"Category Search Results Sort Order", "Порядок сортування результатів пошука категорій"
"Category Search Results", "Результат пошука категорії"
"Close", "Зачинити"
"CMS Search Result Fields", "Поля результатів пошука статичних сторінок"
"CMS Pages", "Статичні сторінки"
"Cms Content", "Вміст статичних сторінок"
"Cms Title", "Назва статичної сторінки"
"Description", "Опис"
"Enable", "Активно"
"Enable search terms highlighting", "Ввімкнути виділення запитів пошука"
"Filter CMS Pages", "Фильтрувати статичні сторінки"
"More results", "Більше результатів"
"Name", "Ім'я"
"Name A-Z", "Ім'я А-Я"
"Name Z-A", "Ім'я А-Я"
"News Pages", "Сторінки новин"
"Price", "Ціна"
"Price Asc", "Ціна на збільшення"
"Price Desc", "Ціна на зменшення"
"Product Image Size", "Розмір зображення товара"
"Product Image", "Зображення товара"
"Product Name", "Назва товара"
"Product Search Result Fields", "Поля результатів пошука товара"
"Product Search Results Sort Order", "Порядок сортування результатів пошука товарів"
"Product Search Results", "Результати пошука товарів"
"Product Short Description Size", "Розмір короткого опису товара"
"Product Title Size", "Розмір назви товара"
"Products", "Товари"
"Relevance", "Актуальність"
"Reviews Rating", "Рейтинг відгуків"
"Search Autocomplete", "Пошук (автокомпліт)"
"Search entire store here...", "Вставте текст для пошука по магазину..."
"Search Categories", "Пошук категорій"
"Search CMS", "Пошук статичних сторінок"
"Search results for '%s'", "Результати пошука для '%s'"
"Search Products", "Пошук товарів"
"Short Description", "Короткий опис"
"SKU:", "Артикул:"
"SKU", "Артикул"
"Suggested Searches", "Відповідності у знайденому"
"There are no results.", "Немає результатів пошука."
"Search", "Пошук"
"Pop-Up Delay", "Затримка спливаючого повідомлення"
"in milliseconds", "у мілісекундах"
"Suggested Searches Results", "Результати знайдених відповідностей"
"Show Product Results Grouped By Categories", "Результати пошука товарів групувати по категоріях"
"example: 80x80", "приклад: 80x80"
"Number of words", "Кількість слів"